City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,quesnel,52.9999,-122.5029,10.28,66,100,5.66,CA,1706556717
254,praia da vitoria,38.7333,-27.0667,16.53,88,20,4.95,PT,1706556718
255,horta,38.5333,-28.6333,16.8,90,40,8.75,PT,1706556718
256,kilinochchi,9.3961,80.3982,24.77,82,100,3.66,LK,1706556718
257,santa sylvina,-27.8326,-61.1375,36.14,18,83,2.03,AR,1706556718
258,fale old settlement,-9.3852,-171.2468,29.17,72,93,2.27,TK,1706556718
259,sint michiel liber,12.15,-68.9833,28.9,74,20,6.17,CW,1706556718
260,tralee,52.2704,-9.7026,3.86,77,7,2.66,IE,1706556718
261,nema,57.5067,50.5011,-5.76,96,100,3.5,RU,1706556718
262,dowlatabad,32.7998,51.6955,0.82,55,0,2.06,IR,1706556718
263,livadeia,38.435,22.8739,6.56,85,88,3.73,GR,1706556719
264,santa maria,-29.6842,-53.8069,29.61,51,40,1.54,BR,1706556618
265,lihue,21.9789,-159.3672,23.77,85,40,7.2,US,1706556680
266,sandnessjoen,66.0217,12.6316,5.29,87,75,6.69,NO,1706556649
267,atlantic,39.4668,-74.6663,5.71,72,100,6.69,US,1706556719
268,altai,46.3722,96.2583,-18.21,55,33,0.42,MN,1706556719
269,uturoa,-16.7333,-151.4333,28.4,77,100,2.49,PF,1706556719
270,rouyn-noranda,48.2398,-79.0288,-3.95,68,75,2.57,CA,1706556492
271,beni khalled,36.6504,10.59,13.86,85,0,2.51,TN,1706556719
272,sharypovo,55.5403,89.2008,-14.86,97,100,0.89,RU,1706556720
273,kidodi,-7.6036,37.0044,23.66,96,100,1.56,TZ,1706556720
274,selfoss,63.9331,-20.9971,1.14,85,100,13.03,IS,1706556720
275,port shepstone,-30.7414,30.455,24.41,88,72,9.28,ZA,1706556720
276,port saint john's,-31.6229,29.5448,25.11,90,100,6.37,ZA,1706556720
277,ubinskoye,55.3068,79.6802,-14.28,96,100,3.58,RU,1706556720
278,pombas,17.1503,-25.0201,22.88,71,21,3.98,CV,1706556720
279,plato,9.7903,-74.7824,38.47,27,12,0.74,CO,1706556720
280,hithadhoo,-0.6,73.0833,27.86,75,17,3.08,MV,1706556720
281,morrilton,35.1509,-92.744,16.03,48,0,1.41,US,1706556721
282,bontoc,17.0899,120.978,13.29,97,89,1.66,PH,1706556721
283,vung tau,10.346,107.0843,24.15,80,100,7.75,VN,1706556721
284,nhamunda,-2.1861,-56.7131,33.87,42,43,2.33,BR,1706556721
285,itoman,26.1247,127.6694,17.83,67,100,1.54,JP,1706556721
286,puerto baquerizo moreno,-0.9,-89.6,29.55,74,20,8.23,EC,1706556721
287,nadym,65.5333,72.5167,-20.85,95,25,4.79,RU,1706556721
288,guapo,-16.8306,-49.5319,30.21,36,47,2.13,BR,1706556721
289,chania,35.5122,24.0156,7.78,81,75,6.17,GR,1706556722
290,hornsea,53.9104,-0.1681,12.15,93,100,3.09,GB,1706556722
291,namdrik,5.5994,168.1028,27.11,80,100,5.75,MH,1706556722
292,karratha,-20.7377,116.8463,26.24,73,59,5.89,AU,1706556722
293,mahenge,-8.6833,36.7167,18.42,98,100,0.84,TZ,1706556722
294,jiangyou,31.7667,104.7167,5.52,67,97,1.43,CN,1706556722
295,piton saint-leu,-21.2196,55.3151,24.04,94,75,2.06,RE,1706556722
296,anjiang,27.3194,110.1031,7.15,94,100,0.72,CN,1706556723
297,coquimbo,-29.9533,-71.3436,19.85,82,75,5.66,CL,1706556723
298,suva,-18.1416,178.4415,24.71,94,75,2.06,FJ,1706556569
299,canturay,9.8019,122.4569,23.94,83,100,6.12,PH,1706556723
300,itabira,-19.6192,-43.2269,26.2,75,52,1.8,BR,1706556723
301,chapaev,50.2,51.1667,-16.97,97,5,2.25,KZ,1706556723
302,buka,40.8108,69.1986,4.79,82,100,2.57,UZ,1706556723
303,tofol,5.3248,163.0078,27.41,72,100,5.55,FM,1706556723
304,tazacorte,28.629,-17.9293,20.64,42,17,3.58,ES,1706556724
305,brush,40.2589,-103.6238,15.62,41,0,4.12,US,1706556724
306,naze,28.3667,129.4833,8.51,65,46,2.53,JP,1706556724
307,kenai,60.5544,-151.2583,-13.81,91,100,1.54,US,1706556724
308,ust'-ilimsk,58.0006,102.6619,-31.54,100,11,0.89,RU,1706556724
309,serdar,38.9764,56.2757,3.23,71,26,2.11,TM,1706556724
310,eldorado at santa fe,35.5264,-105.9347,12.43,37,0,3.09,US,1706556724
311,rakops,-21.0167,24.3333,26.86,52,71,1.58,BW,1706556724
312,howrah,22.5892,88.3103,16.0,82,0,0.0,IN,1706556564
313,ashoknagar kalyangarh,22.8642,88.637,15.95,44,0,2.45,IN,1706556725
314,norilsk,69.3535,88.2027,-16.43,83,100,2.94,RU,1706556725
315,illizi,26.4833,8.4667,15.89,44,2,5.02,DZ,1706556725
316,potchefstroom,-26.7167,27.1,24.38,40,70,0.7,ZA,1706556595
317,jiuquan,39.7432,98.5174,-6.0,33,1,1.78,CN,1706556725
318,zuunmod,47.7069,106.9528,-33.43,99,100,0.64,MN,1706556725
319,igarka,67.4667,86.5833,-22.49,84,90,4.33,RU,1706556725
320,tres arroyos,-38.3739,-60.2798,36.83,17,0,3.09,AR,1706556726
321,vredendal,-31.6683,18.5012,20.55,66,54,2.02,ZA,1706556726
